,Strain,Type,Rating,Effects,Flavor,Description
1314,Lucid-Dream,hybrid,4.6,"Energetic,Euphoric,Uplifted,Focused,Relaxed","Berry,Blueberry,Sweet","Lucid Dream is a dynamic blend of Amnesia Haze and Blue Dream. This sativa-dominant hybrid provides a stimulating mix of uplifting Haze effects with the sweet blueberry notes of Blue Dream. Lucid Dream's energetic, uplifting buzz makes it a great daytime choice for patients treating migraines, nausea, and stress."
1315,Lucky-Charms,hybrid,4.5,"Euphoric,Happy,Relaxed,Uplifted,Tingly","Berry,Sweet,Citrus","Lucky Charms from Bodhi Seeds is potent hybrid cross between The White and Appalachia. It may be named after breakfast cereal, but this strain tastes far more like tangy fruit than it does marshmallows. Lucky Charms does, however, boast an enticing coat of sugary resin inherited from its trichome-heavy parent, The White. When grown indoors, Lucky Charms flowers after 9 weeks."
1320,Mk-Ultra,indica,4.5,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Pungent,Woody","Named after the methods of mental manipulation employed by the CIA’s Project MKUltra, this indica-dominant strain stands apart due to its powerful cerebral effects. A cross between mostly-sativa hybrid OG Kush and indica G-13, this strain is bred by T.H. Seeds and won 1st place Indica at the High Times Cannabis Cup in 2003 and 2nd place in 2004. Indoor growing is facilitated by the plant’s short stature, and its above average yield delivers particularly sticky, dense, pungent flowers. MK Ultra is renowned for its ‘hypnotic’ effects that are fast-acting and best used when strong medication is desired. As evidenced by its collection of awards, this indica is one of the strongest in the world. It might be best for a day when not getting off the couch would be fine."
1321,Mad-Dawg,hybrid,4.5,"Happy,Uplifted,Hungry,Talkative,Energetic","Sweet,Earthy,Citrus","Mad Dog is a hybrid strain that delivers euphoric relaxation and a subtle, uplifting jolt of cerebral energy. It has an earthy pine aroma with sweet, minty undertones."
1322,Mad-Scientist,indica,4.6,"Relaxed,Uplifted,Focused,Euphoric,Happy","Woody,Pungent,Pine","Mad Scientist, or Mad.S, by Sannie’s Seeds is an indica-dominant concoction that combines Herijuana and White Widow genetics. With a THC profile that often stretches to 24%, Mad Scientist delivers powerfully relaxing effects that ease the mind and body into a peaceful sedation. Hints of sweet lemon and coffee release on the exhale, and its dense buds are powdered with a snow-white blanket of crystal resin."
1325,Madman-Og,hybrid,4.6,"Relaxed,Sleepy,Hungry,Uplifted,Euphoric","Earthy,Pine,Woody","Another excellent hybrid from Southern California breeders Ocean Grown Genetics, Madman OG combines LA Confidential with OG Kush to create a powerful and delicious indica. Generally considered a high-THC strain, it has been tested at anywhere from 16-24%. Smooth coffee flavors give way to sour earthy undertones, with a fresh pine scent typical of many OG Kush varieties. Madman OG gives users a pleasant, relaxed body high that often leads to munchies and sleep. "
1326,Madzilla,indica,5.0,"Tingly,Uplifted,Euphoric,Happy,Relaxed","Earthy,Woody,Pine",Madzilla is an indica strain from Los Angeles that crosses King Louis XIII and OG Raskal's Fire OG. Its big bulbous colas are an array of dark green hues with bright orange pistils and a thick layer of sticky trichomes. Madzilla carries a sweet pine aroma and an earthy taste with floral undertones. The full-body indica effects calm the mind and relax sore muscles and body pains.
1327,Mag-Landrace,indica,4.6,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Earthy,Sweet,Pungent","Mag Landrace by Ataraxia is an Iranian landrace propagated in the great state of Illinois. This heavy bud grow dense flower speckled with vivid hues of purple and orange. The strain’s aroma is a mixture of earthy spice and diesel while the effects lay into the body, helping mitigate pain, stress, and restlessness. "
1332,Mai-Tai-Cookies,hybrid,4.9,"Happy,Relaxed,Euphoric,Creative,Uplifted","Orange,Tree,Fruit,Spicy/Herbal","Mai Tai Cookies is a CBD-rich hybrid strain bred by Terraform Genetics, who crossed Alien Orange Cookies and ACDC.  She took 1st place for “Best CBD Flower” at the 2016 High Times Cannabis Cup in Los Angeles. This hybrid is very frosty compared to most CBD strains and has a unique aroma of cherries and orange peels.  With a high that is very relaxing and yet functional, patients would typically choose this strain for pain and anxiety. Her flowers have a dense structure similar to that of Girl Scout Cookies and are ready for harvest after a flowering cycle of 50-55 days. This wonderful strain won 1st Place for Best CBD Flower at the 2016 High Times Cannabis Cup in Los Angeles and 2nd Place for Best CBD Concentrate at the 2016 High Times Concentrate Cup."
1333,Majestic-12,hybrid,4.8,"Relaxed,Tingly,Happy,Euphoric,Creative","Earthy,Sweet,Berry","3C Majestic 12 satisfies all the requirements of a delicious ‘purple’ strain. Leaves of violet and purple? Check. Dense with frosty trichomes and orange pistols? Check. Deep, sweet earthy flavor? Check. Extremely relaxing on the mind and body? Check. This strain is named for a secret committee of scientists, military, and government officials organized to investigate and recover an alien spacecraft—an apt title for this hybrid blend of Space Queen and Obama OG. It hits the mind first, but is closely followed by total body relaxation. Majestic 12 is preferred by patients looking to tackle anxiety and pain at the same time. "
1337,Mammoth,hybrid,4.5,"Happy,Relaxed,Focused,Uplifted,Creative","Honey,Earthy,Woody","This hybrid from The Bank Cannabis Genetics is a cross between the sativa-dominant Snowcap and indica-dominant LA Confidential. There isn’t a lot of  information available on Mammoth, but the breeder suggests that growers should look for phenotypes featuring the enormous yields of Snowcap, the shorter flowering time and manageable height of LA Confidential, and the dense buds, high potency, resin production, and disease resistance of both parents."
1342,Mango-Haze,sativa,4.6,"Happy,Relaxed,Euphoric,Focused,Uplifted","Mango,Sweet,Tropical","Mango Haze is a mostly sativa strain bred by Mr. Nice Seeds, who crossed Northern Lights #5, Skunk, and Haze to create this uplifting, fruity variety. Though similar to its sibling strain Super Silver Haze, Mango Haze exhibits a distinctive mango aroma coupled with a buzzing cerebral sensation. "
1344,Mango-Tango,hybrid,4.6,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Mango,Tropical,Citrus","Mango Tango is a hybrid cannabis strain by Elemental Seeds whose crushing indica effects dance with a pungent, fruity flavor profile. Its True OG parent passes on heavily relaxing effects typical of Kush varieties while its loud citrus and peach flavors come from Tangie and Peaches genetics. A subtle pine flavor can be detected on the exhale, creating a complex taste that helped this strain win 1st place in the 2015 SoCal Cannabis Cup.  "
1345,Mangolicious,indica,5.0,"Uplifted,Focused,Relaxed,Giggly,Happy","Sweet,Tropical,Pineapple","Mangolicious is an indica-dominant cross of Big Bud and White Widow. This cut expresses a tropical aroma and robust bud structure. It has a relatively speedy flowering time and a generous yield thanks to its Big Bud genetics. Mangolicious’s full-body effects and pleasant mango smell speak to potentially high levels of myrcene, a terpene known for its weighted “couchlocking” effect."
1346,Manitoba-Poison,hybrid,4.5,"Relaxed,Happy,Sleepy,Focused,Uplifted","Spicy/Herbal,Earthy,Cheese","Manitoba Poison is a 50/50 hybrid with heavy indica properties that vastly outweigh its sativa counterpart. Its effects arrive instantaneously, delivering deep relaxation that easily converts to a good night’s sleep. The rounded, purple-fringed buds are wreathed in dark jade leaves and have a fresh, woody aroma that carries through until the exhale. Bred by Great White North from unnamed African varieties, Manitoba Poison thrives outdoors in temperate northern climates and grows about 4 feet tall."
1348,Maramota-10,hybrid,5.0,"Talkative,Energetic,Giggly,Relaxed","Sweet,Berry,Earthy","Maramota #10 is a concoction of DJ Short Blueberry mixed with a cross of G13 and Hash Plant. This hybrid by Irie Vibe Seeds produces a multifaceted aroma of sweet berries and earthy hash that conjures memories of strawberry shortcake. A heavy yielder, Maramota #10 is a good way to stimulate the appetite or to help put you to sleep at the end of the day."
1350,Margaret-Cho-G,hybrid,4.7,"Euphoric,Focused,Relaxed,Talkative,Uplifted","Sweet,Grapefruit,Honey","Comedian Margaret Cho makes her move into the cannabis game with Margaret Cho-G, a cut of the famous OG Kush available in Bay Area, California. Sweet lemon, woody pine, and sour diesel flavors lead you into Margaret Cho-G’s powerfully tranquilizing effects that any OG Kush enthusiast will appreciate. Pairing this strain with some stand-up is a surefire recipe for laughing fits, giving this hybrid even more reason to be dubbed “Margaret Cho-G.”"
1351,Marionberry-Kush,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Creative","Berry,Earthy,Sweet","Like the fruit it is named for, Marionberry Kush is a delicious hybrid bred by Heroes of the Farm. A well-balanced cross of Raspberry Kush and Space Queen that puts off a full spectrum of fruity flavors, Marionberry Kush closely resembles her genetic “sister” Cinderella 99. There are six main phenotypes of Marionberry that all show a range of fruit flavors like passionfruit and raspberry. The aroma is smooth, sweet, and earthy with a sour twist. The effects are pronounced and uplift the mind almost immediately and then slowly relax the body without putting you to sleep. "
1354,Martian-Candy,hybrid,4.7,"Relaxed,Happy,Uplifted,Euphoric,Talkative","Sweet,Woody,Earthy","Martian Candy (also known as Martian Candy OG) is a indica-dominant hybrid with an aroma that is out of this world. This strain smells rich with herbaceous notes and just a hint of eucalyptus. It leans heavily on the body, lowering the eyes immediately after the first puff. Its strong body buzz expands gradually, relaxing the limbs to the point of sedation with continued use. Martian Candy is ideal for patients suffering from stress, anxiety, PTSD, and nausea.  "
1361,Master-Skunk,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Happy,Creative","Skunk,Lemon,Honey","Master Skunk by Mr. Nice Seeds is an indica-dominant hybrid that crosses Master Kush with Skunk #1. With an aroma both sweet and earthy like its Master Kush parent, Master Skunk induces heavy relaxation throughout the mind and body. This strain is recommended for late-night consumption and for patients treating sharp or chronic pain. Master Skunk plants are resilient and mold-resistant with a flowering time of 7 to 9 weeks, making this hybrid a great choice for growers learning the horticultural ropes."
1362,Master-Yoda,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Focused","Pungent,Sweet,Earthy","With lab-tested THC levels that reach over 20%, strong medicine, Master Yoda is. This strain, however, is not about brute “Force,” as the original Master Yoda would know, and the sativa side of this mostly indica buzz has just enough of an uplifting balance to please just about anyone. Master Yoda clinched 1st Place at High Times Los Angeles Cannabis Cup in 2012, where the OG Kush and Master Kush cross was already a local favorite. Growers also like this strain for its hybrid resilience and its 8 week flowering time."
1364,Mataro-Blue,indica,4.6,"Relaxed,Sleepy,Euphoric,Hungry,Tingly","Berry,Sweet,Earthy","Mataro Blue by Kannabia Seeds is a rare three-way cross of Black Domina x Mazar I Sharif x Blue Monster. This strain is a stable, high yield producer on top of having flavorful, award-winning genetics. Its strong medicinal effects sedate and relax the consumer, helping to combat insomnia, chronic pain, and restlessness. Mataro Blue won 1st place rosin at the 2016 Lift Expo, Toronto, as well as 1st place medical indica at the 2012 Treating Yourself Expo, Toronto.  "
1365,Matsu,indica,5.0,"Euphoric,Tingly,Happy,Sleepy,Hungry",,
1369,Maui-Bubble-Gift,hybrid,4.6,"Relaxed,Uplifted,Happy,Tingly,Euphoric","Sweet,Citrus,Pungent","Maui Bubble Gift is an indica-dominant hybrid strain whose known parent strains include Bubble Gum and a Maui Wowie/God’s Gift hybrid. This strain’s CBD content often outweighs its THC levels, making it a great match for consumers with pain, anxiety, and inflammation. With only mildly psychoactive effects, Maui Bubble Gift delivers its soothing relief alongside an earthy, floral aroma."
1370,Maui-Citrus-Punch,sativa,4.5,"Relaxed,Energetic,Uplifted,Creative,Euphoric","Citrus,Tropical,Skunk","Maui Citrus Punch is an exquisitely fruity strain that combines the best of Maui Dawg and Tangelo Kush. These parent strains come together to create a cross that is pleasurable to nearly all the senses, exhibiting bright citrus notes with funky skunky undertones. The flavor holds on to the citrus and slight earthiness that slowly morphs into a high energy euphoria which settles in the body. Consider enjoying Maui Citrus Punch outdoors, as the aroma alone will draw attention. "
1371,Maui-Haole,hybrid,4.6,"Happy,Creative,Euphoric,Aroused,Sleepy","Pungent,Tropical,Earthy","Maui Haole is a balanced hybrid that combines the sweet, tropical flavors of Maui Wowie with Romulan’s full-bodied relaxation. Bred by Pua Mana 1st Hawaiian Pakalōlō Seed Bank, Maui Haole takes powerful influence from the original Romulan Joe cut of Romulan. Its uplifting sativa influence stems from Maui Wowie genetics sourced from the Lower Nāhiku region of Hawaii. Haole is a Hawaiian term for a foreigner or someone that is not native to Hawaii, and Romulan is an alien race from the legendary sci-fi series Star Trek. Thus, the combination of the two leaves us with Maui Haole, or 'Hawaiian Alien.'"
1373,Maui-Pineapple-Chunk,hybrid,4.7,"Creative,Euphoric,Uplifted,Aroused,Energetic","Tropical,Flowery,Menthol","Maui Pineapple Chunk is a 50/50 hybrid bred by Pua Mana 1st Hawaiian Pakalōlō Seed Bank, who crossed Pineapple Chunk with their Nāhiku Maui Wowie to create this balanced Hawaiian strain. Sweet and sour tropical flavors reminiscent of this strain’s homeland deliver you to a calm, uplifted mindset far away from stress."
1378,Medihaze,sativa,4.6,"Relaxed,Happy,Focused,Uplifted,Energetic","Earthy,Sweet,Spicy/Herbal","MediHaze (or CBD Medi Haze) is an 80/20 sativa-dominant strain bred by CBD Crew that crosses genetics from Super Silver Haze, Neville’s Haze, and an undisclosed CBD-rich parent. Its THC to CBD ratio typically comes out 1:1, but some seeds will offer a doubled CBD content. THC and CBD’s synergy provide relief to a variety of symptoms, some of which include pain, inflammation, and anxiety. Pine, mint, and spice aromas burst from MediHaze buds in a fragrant introduction to its clear-headed, uplifting effects. "
1379,Medibud,hybrid,4.5,"Uplifted,Relaxed,Euphoric,Happy,Focused","Sweet,Earthy,Skunk","Medibud (or Medi Bud) is an uplifting hybrid strain of unknown genetic origins, but many attribute its upbeat, active effects to sativa parentage. Others claim Medibud is a 60/40 indica-dominant cross, so it’s possible that this strain expresses itself in various phenotypes. Typically, you can expect high-energy euphoria and heightened sensory awareness from Medibud, but its indica-leaning phenotypes may induce heavier, more relaxing effects. "
1381,Medicine-Woman,hybrid,4.6,"Uplifted,Happy,Relaxed,Euphoric,Creative","Earthy,Citrus,Diesel","Medicine Woman is a 60/40 sativa-dominant hybrid strain from renowned Oregon medical cannabis grower David Verstoppen. Aiming to help treat the symptoms of his wife’s fibromyalgia, Dave crossed Hash Plant, Dynamite, and G13 to create this potent hybrid. Measured at over 23% THC, it relaxes muscles and provides powerful pain relief along with an energetic, clear-headed high. The aroma of Medicine Woman is sweet and skunky, and it tastes of sour citrus and diesel fuel."
1385,Mekamika-Haze,sativa,5.0,"Uplifted,Creative,Energetic,Euphoric,Focused","Pineapple,Mango,Flowery","Mekamika Haze won Best Sativa at the 2015 Amsterdam Unity Cup. This pure landrace sativa supposedly hails from the Amazon and shares genetics with another mysterious strain, Mango Rossa (Manga Rosa from Brazil). The bright, lanky sativa is a challenge to grow, but attentive farmers are rewarded with beautiful buds that smell of tropical citrus and mango with pungent, earthy undertones.  "
1387,Memory-Loss,sativa,4.6,"Creative,Uplifted,Happy,Euphoric,Talkative","Earthy,Sweet,Woody","Memory Loss is a fast-finishing 70% sativa hybrid from Archive Seed Bank that smells very much like a Dutch Haze, with a strong, peppery incense odor and undertones of bubblegum and fruit. This cross of Amnesia Haze and a Face Off OG male produces large, easy to grow plants and heavy yields. Memory Loss is named for its mind-warping high that can leave users in a disoriented and forgetful mental state."
1388,Mendo-Afgoo,indica,5.0,"Sleepy,Hungry,Relaxed,Uplifted,Euphoric","Earthy,Pungent,Skunk","Mendo Afgoo is an unknown cross that has recently sprouted up on menus in cannabis dispensaries up and down the West Coast. The genetics are somewhat contested, with some claiming the strain is an Afgooey rebranded and others inferring parental genetics via nomenclature (Mendocino Madness x Afghani). The effects of the strain uplift the mind while saddling the body with a creeping heaviness. Mendo Afgoo is pungent and earthy, expressing deep green buds with coppery hair. Its stress-relieving effects make it a natural fit for the end of the day.   "
1389,Mendo-Breath,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Uplifted","Earthy,Pungent,Sweet","Mendo Breath is an interesting mix of OGKB (OGKushBreath, which is the supposed patriarch in the Cookies Fam genetics) and Mendo Montage. Their forces combined make dense frosty buds that reek of sweet vanilla and caramel. But no matter how good this smells, save it for after work. This thumper can pivot your entire day’s plans with its powerful body high built for chronic pain and discomfort. "
1393,Merlot-Og,indica,4.9,"Relaxed,Happy,Uplifted,Euphoric,Tingly","Butter,Flowery,Earthy","SoCal cannabis breeders Ocean Grown Seeds originally designed the Merlot OG in 2006 as an attempt to create an OG Kush-type plant with deep purple colors by crossing Larry OG and Grape Ape. The resulting plant was then crossed with Blackberry Rhino x SFV OG and then backcrossed to stabilize its OG characteristics. Merlot OG produces large, dense indica-type buds that are blanketed in white trichomes and will often turn dark purple, especially in cooler conditions. "
1397,Mickey-Kush,sativa,4.6,"Uplifted,Happy,Focused,Relaxed,Euphoric","Earthy,Sweet,Tree,Fruit","Mickey Kush is a 75% sativa cross between Sweet Irish Kush and Jack The Ripper. These potent buds offer an earthy, kush flavor with lemon undertones, and deliver energetic, focused effects. Mickey Kush is renowned for its high THC and CBG cannabinoid content, making it a prime choice for tumor treatment, alleviating nausea, pain, and depression. These indoor or outdoor plants reach a medium height with a moderate to heavy yield, flowering between 7 and 8 weeks."
1398,Middlefork,hybrid,4.6,"Creative,Happy,Uplifted,Focused,Euphoric","Earthy,Blueberry,Tar","Middlefork is a sativa-dominant hybrid strain bred from Dutch Treat. Created in Washington state just outside the city of Bellingham, Middlefork has become a local staple known for its potent relief of anxiety, pain, spasms, and nausea. Creativity and energy are ushered in by sweet berry and tangy citrus notes inherited from the strain’s Dutch Treat parent."
1399,Middlefork-X-Pineapple-Express,sativa,4.9,"Happy,Euphoric,Giggly,Uplifted,Relaxed","Pineapple,Sweet,Grape","Middlefork x Pineapple Express is a 75% sativa strain from western Washington that combines the best of both parents: a pungent pineapple aroma and heavy resin production. Notes of berry and earthiness accent the dominant fruity aroma of this strain, bringing fragrant intricacy to this sativa hybrid. Bliss and euphoria overcome the mind, lulling you into a deep sense of calm and contentment. In addition to its rich terpene profile, Middlefork x Pineapple Express typically demonstrates a high cannabinoid content that can stretch beyond 20% THC."
1401,Milky-Way,indica,4.7,"Relaxed,Happy,Euphoric,Energetic,Focused","Sweet,Menthol,Pepper","Milky Way is an 80/20 indica-dominant blend bred by Kiwiseeds. Named for the milky white trichomes that cover its buds and sugar leaves, Milky Way has a sweet aroma with flavors of sugar and spice. The effects are characterized as potent, relaxing, and full-bodied thanks to the heavy indica influence."
1403,Mint-Chocolate-Chip,hybrid,4.6,"Relaxed,Happy,Tingly,Uplifted,Talkative","Minty,Earthy,Mint","Mint Chocolate Chip is a rare cross of opposing genetics. Created from SinMint Cookies and Green Ribbon BX, this strange hybrid is mentally uplifting while remaining grounded in functional relaxation. The terpene profile is sweet, minty, and herbal, and the buds are dense with resin. Mint Chocolate Chip remains functional in smaller doses, but shows its distracting and relaxing qualities with continued consumption.   "
1407,Mob-Boss,hybrid,4.5,"Energetic,Happy,Euphoric,Uplifted,Relaxed","Earthy,Pine,Citrus","Released in 2009 by Grindhouse Medical Seeds, Mob Boss is a sativa-dominant hybrid bred from Chemdawg D and Tang Tang. This California strain earned its fame through its staggeringly heavy resin production and intoxicatingly potent effects. Mob Boss’ intensity hides behind a light, sweet floral aroma with undertones of citrus and herbs. While some phenotypes deliver a hard-hitting jolt of cerebral psychoactivity, others tend to induce a lighter, more clear-headed buzz. Patients use Mob Boss for potent relief of muscle tension, mood elevation, and appetite stimulation. Depending on how its traits are expressed, Mob Boss typically finishes flowering in 60 to 70 days indoors."
1409,Mochi,hybrid,5.0,"Sleepy,Happy,Hungry,Relaxed,Tingly","Pungent,Minty,Flowery","Mochi by Sherbinski is another strain that leans on the Cookie Fam lineage for flavor, potency, and stability. This phenotypic expression of Sunset Sherbet x Thin Mint Girl Scout Cookies is an indica-leaning hybrid with beautiful, dense buds. Mochi’s appearance is a frosty mixture of purple and jade foliage knotted with bright red hairs. Its effects are very similar to that of its parent strains, offering moderate pain and stress reduction while imbuing the consumer with a calm and creative aura. The Mochi strain is also known by the names Gelato 47 and Mochi Gelato. "
1410,Molokai-Frost,indica,4.8,"Relaxed,Euphoric,Happy,Creative,Uplifted","Pungent,Woody,Chestnut","Moloka’i Frost (also known as Moloka’i Hashplant) is a potent sativa-dominant strain with a robust medicinal history. In 1969, residents of the Lalaaupapa Moloka’i leper colony were allowed to leave and access modern medicine. But a special medicine also left the Kalawao Valley (pronounced ka-la-wow), too. This flower grows like a sativa, but exhibits extremely powerful indica-like effects, including heavy sedation, strong analgesic effects, and latent euphoria that complements this strain’s heavy body elements. This rare resinous flower is a Hawaiian landrace worth seeking out.  "
1411,Molokai-Purpz,indica,5.0,"Aroused,Creative,Euphoric,Relaxed,Sleepy","Berry,Grape,Sweet","Moloka’i Purpz is a luscious Hawaiian landrace strain from the island of Moloka’i. With deep purple hues and an aroma so rich with grape and berry that some might say it even “smells purple,” Moloka’i Purpz delivers sedating effects ideal for those suffering from insomnia and stress. Anticipate a flavor as rich as the smell, with notes of exotic berry and grape intermixed with a sweet skunkiness. This indica-dominant strain is extremely relaxing, lulling the body and mind into a state of weighted tranquility. "
1412,Money-Maker,indica,4.6,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Berry,Skunk","Money Maker is a blend of three of the finest old school cannabis varieties. Breeder Strain Hunters has mixed the potency and vitality of Master Kush and Hindu Kush in combination with the vigorous growth and sweet flavors of Skunk #1 to form an indica-dominant cross that can be appreciated by cultivators and connoisseurs alike. Its aroma is a sharp mixture of spiced berries and piney kush. Money Maker provides an earthy mix of flavors reminiscent of dried fruits and roasted nuts that produce immediate relaxing effects. A good choice for insomnia or to stimulate your appetite, Money Maker is a strain that many reserve for the end of their day. "
1413,Monkey-Paw,hybrid,4.5,"Relaxed,Happy,Hungry,Uplifted,Euphoric","Grape,Berry,Spicy/Herbal","Monkey Paw takes its name from its fingerling buds that resemble the curled paws of primates. It is a fabled old school strain whose roots sprouted in Michigan and has built a solid reputation for itself across the Midwest. This hybrid is a compelling mixture of Acapulco Gold and Colombian Gold sativas that are balanced by Afghani’s indica influence to produce a pungent combination of sweet and fruity flavors. Its aroma is reminiscent of the thick musk of Skunk varieties with sharp notes of zesty citrus that cut the senses. The aftertaste of fresh fruits, like grape and blueberry, serves as precursor to the relaxing effects that calm body pains and stimulate the stomach. "
1414,Monolith,indica,5.0,"Relaxed,Sleepy,Tingly,Euphoric,Focused","Pungent,Earthy,Pine","Monolith is an indica-dominant strain with Afghan roots that stretch back to the 1980s. This indica exhibits a pungent aroma that has an earthy, herbaceous core glazed with stinky-sweet terpenes powerful enough to clear a room. The onset of Monolith is surprisingly uplifting, making the consumer smile and laugh while banishing stress and anxiety from the mind. Monolith stimulates the appetite and infuses the limbs with a warm, tingly sensation. Enjoy this indica to nullify stress, curb minor physical pain, and encourage rest and relaxation.    "
1415,Monster-Cookies,indica,4.6,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Grape,Pine","Monster Cookies is an 80% indica cross between Girl Scout Cookies and Granddaddy Purple that delivers a jarring dose of euphoria and relaxation. Its aroma is dominated by earthy notes, enriched by a grape and berry scent passed on by Granddaddy Purple. Hues of purple and green weave together under a silver blanket of crystal trichomes, colors that continue to darken with maturation. Calming sedation wells up over time, making this strain ideal for late night use. "
1416,Monster-Og,hybrid,4.9,"Hungry,Relaxed,Happy,Tingly,Sleepy","Woody,Spicy/Herbal,Earthy","Monster OG from The Green Element is a hybrid strain that crosses a heavy OG indica with an OG Kush and SFV OG hybrid. With a THC profile that can stretch past 26 percent, Monster OG’s effects come on strong to relax muscles, soothe pains, relieve stress, increase the appetite, and promote rest. Stout plants produce tights resin-packed buds that carry a blend of deep, earthy diesel and subtle burnt spice notes."
1417,Montana-Silvertip,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Earthy,Spicy/Herbal,Sweet","Montana Silvertip is a Granddaddy Purple and Super Silver Haze hybrid cross that inherits the name of its homeland. Typical medical applications for Montana Silvertip include ADD/ADHD, migraines, and anxiety."
1418,Moon-Cookies,hybrid,4.8,"Hungry,Focused,Euphoric,Happy,Relaxed","Spicy/Herbal,Minty,Flowery","Moon Cookies is a twice deep GSC x GSC cross that is certain to moon rock you! This intergalactic herb’s stinky-sweet terpene profile is a complex melange of dough, earth, and green forest. The effects are those of classic Girl Scout Cookies, and the buds are resinous rocks that are hard and dense. Enjoy Moon Cookies into the afternoon as the physical effects of this strain can get heavier and more sedative with continued consumption. But in good measure, Moon Cookies offers a bright cerebral buzz that can improve mood while its physical effects mute minor physical discomfort, nausea, and stress.     "
1419,Moondance,sativa,5.0,"Creative,Euphoric,Happy,Relaxed","Lavender,Pine","Moondance is a sativa-dominant strain that offers a CBD content as high as 11%. With an average THC level of just 4%, consumers will notice only minimal cerebral, euphoric sensations. Candied grape aromas turn to spicy pepper, fresh mint, and sharp pine flavors on the exhale. Stress, body aches, and painful inflammation wither away while the mind is left agile and clear, making this strain an excellent daytime choice for patients and those needing to stay active. Inheriting genetics from Super Silver Haze, Neville’s Haze, and an unknown CBD-rich parent, Moondance is a variation of the better-known MediHaze sativa."
1421,Moonwalker-Kush,hybrid,4.9,"Relaxed,Euphoric,Happy,Focused,Giggly","Earthy,Pine,Minty","Moonwalker Kush is a balanced indica-dominant hybrid that is the genetic cross of Triple OG and Tahoe Alien. This odoriferous combination speaks volumes through its scent, which is thick with soured earth and a hint of pepper on the finish. The herbaceous terpene profile aligns nicely with this strain’s intense relaxation and moderate cerebral effects. Try Moonwalker Kush after dark to harness the sedative effects nestled below layers of trichomes and brown pistils.    "
1422,Moose-And-Lobsta,sativa,4.9,"Happy,Uplifted,Euphoric,Energetic,Talkative","Citrus,Diesel,Pungent","Moose and Lobsta is a 70% sativa-dominant hybrid that produces heavy yields of high-potency flowers in about nine to ten and a half weeks of flowering. It smells strongly of skunk and tropical fruit and has a similar taste with undertones of diesel fuel. Moose and Lobsta provides a very intense high that starts in the head and quickly spreads through the body and limbs, and can be beneficial in treating pain, anxiety, depression, and loss of appetite."
1423,Morning-Glory,hybrid,4.9,"Creative,Energetic,Happy,Aroused,Uplifted","Citrus,Pepper,Lime","Morning Glory by Barney’s Farm is a sativa-dominant hybrid steeped in fundamental genetics. Morning Glory is a cross of Afghani, Hawaiian, and Skunk, and inherits flavorful terpenes from each parent. This strain’s aroma has been described as spicy with notes of lemon and sandalwood. The plant grows fat, resinous colas ideal for extraction while the overall plant structure remains manageable. Morning Glory’s stimulating physical effects and conversent mental state make it a perfect cut to enjoy amongst friends. "
1426,Mossimo-Og,indica,4.5,"Euphoric,Focused,Relaxed,Sleepy,Uplifted","Honey,Lemon,Pungent",Mossimo OG is an indica strain that compaeted in the 2014 L.A. Cannabis Cup.
1429,Mother-Of-Berries,indica,4.6,"Relaxed,Happy,Creative,Sleepy,Tingly","Berry,Blueberry,Sweet","Mother of Berries, or M.O.B., is an indica strain from Maine that provides a deeply relaxing experience that transitions well into restful sleep. Carrying the legacy of its Blueberry parent, Mother of Berries lives up to its name with its unmistakable blueberry fragrance. Its chunky buds are wreathed in interweaving hues of purple and green, which are obscured under a dense blanket of crystal trichomes. With effects that are more mellow than jarring, Mother of Berries is suitable for both novice and seasoned consumers alike."
1432,Mothers-Helper,hybrid,4.6,"Energetic,Uplifted,Happy,Focused,Creative","Earthy,Sweet,Citrus","Mother’s Helper is a hybrid cross between the sativa Chocolope and a Northern Lights #5 indica. Combining these polar opposite genetics results in a variety of phenotypes that lean to either side of the indica-sativa spectrum. Mother’s Helper tends to make consumers feel happy, creative, and uplifting, and offers medical benefits to patients treating pain, stress, anxiety, nausea, and migraines."
1437,Mt-Cook,indica,5.0,"Euphoric,Focused,Happy,Relaxed,Aroused","Ammonia,Diesel,Spicy/Herbal","Named after the highest peak in New Zealand, Mt. Cook by Kiwiseeds is a former Cannabis Cup champion. After selecting their top Afghani female, a special Northern Lights and Hash Plant male was used to pollinate and create this potent indica. Known to be powerful and sedative, this is a great strain to relax and catch some sleep with."
